CD,Misc,PMID,label,title,abstract
CD012164,0,10512597,1,Subfascial endoscopic perforator vein surgery: indications and results.,"Subfascial endoscopic perforator surgery (SEPS) is a new, minimally invasive technique performed in patients with advanced chronic venous insufficiency. The objective of the operation is to interrupt incompetent medial calf perforating veins to decrease venous reflux and reduce ambulatory venous hypertension in critical areas above the ankle where venous ulcers most frequently develop. Patients with stasis skin changes and healed or active venous ulcerations are potential candidates for the operation. Preoperative evaluation is performed with duplex scanning of the superficial, deep and perforator system, to diagnose both obstruction and valvular incompetence. Results of the North American SEPS Registry (NASEPS) as well as experience in several individual centers confirmed that the operation has significantly fewer wound complications than the classic open surgical techniques, and that rapid ulcer healing can be achieved. At the Mayo Clinic an ulcer recurrence rate of 12% was observed, with recurrence significantly more frequent in post-thrombotic limbs than in patients with primary venous valvular incompetence. The NASEPS Registry report confirmed a 2-year cumulative ulcer recurrence rate of 28%; ulcer recurrence was significantly more frequent in post-thrombotic limbs, especially in those with deep venous obstruction. SEPS is a new, low-risk, outpatient procedure that effectively decreases perforator reflux in patients with venous ulcerations, and should be added to our armamentarium to treat patients with advanced chronic venous disease. Long-term prospective and randomized studies are, however, still required to provide level I evidence of late efficacy."
CD012164,0,22623439,0,The path from art to evidence in treating critical limb ischaemia--reflections on 35 years' experience.,"Despite numerous attempts, chronic critical limb ischaemia (CLI) has not been unequivocally defined as yet. Its epidemiology is poorly investigated and its prevalence probably higher than anticipated. It is accompanied by high mortality and morbidity irrespective of the way it is treated. Its management is very expensive. Additionally, the prevailing diabetes epidemic is increasing the need for revascularizations although there is a clear lack of evidence as to when to revascularize an ulcerated diabetic foot. The fast development of endovascular techniques blurs the vision as the window of opportunity for gathering proper evidence keeps narrowing. The notion of endovascular artistry prevails, but attempts to conduct proper studies with clear definitions, strict criteria and appropriate outcome measures in a standardised manner should continue--preferably using propensity scoring if randomised controlled trials are not possible. This review highlights some of the steps leading from art to evidence and illustrates the difficulties encountered along the path. In parallel with this overview, the progress of the treatment for CLI in Finland is described from the perspective of the work concluded at Helsinki University Central Hospital."
CD012164,0,21283981,0,Randomized clinical trial of endovenous laser ablation compared with conventional surgery for great saphenous varicose veins.,"Endovenous laser ablation (EVLA) is a popular minimally invasive treatment for varicose veins. Surgical treatment, featuring junctional ligation and inversion stripping, has shown excellent clinical and cost effectiveness. The clinical effectiveness of both treatments was compared within a randomized trial."
CD012164,0,17545185,0,Long term results of compression therapy alone versus compression plus surgery in chronic venous ulceration (ESCHAR): randomised controlled trial.,To determine whether recurrence of leg ulcers may be prevented by surgical correction of superficial venous reflux in addition to compression.
CD012164,0,20109380,0,[Multicentric study on a topical compound with lymph-draining action in the treatment of the phlebostatic ulcer of the inferior limbs].,"Phlebostatic sore of the lower limbs is a typical chronic venous insufficiency complication and is still a widely controversial issue in its treatment. The common therapies, in fact, are not yet standardized and they not show complete efficacy. Since 2005 to 2007 a multicentric clinical trial was conducted at the Plastic and Reconstructive Surgery of ""Sapienza"" University of Rome and at the Plastic and Reconstructive Surgery Department, University of Perugia, in order to evaluate the efficacy of the Idrastin lymph-draining cream in patients with phlebostatic sores of the lower limbs. This study enrolled on 80 patients, split into 2 homogeneous groups of 40 patients: group A was treated by only elastocompressive therapy, group B by elastocompressive therapy and Idrastin. Multicentric analysis has considered the following parameters: local pain, perilesional flogosis , granulation tissue, perilesional tissue tropism healing time. In the group B results highlighted: reduction of the local pain, stopped in 72 hours; flogosis decrease disappeared in one week; tissue granulation growth in one week; lesion healing in 4 weeks. These results pointed out statistically significance of the variables considered. In our opinion Idrastin compounds such as phytoessence of hops and Hedera helix, had contributed to analgesia; Aesculus hippocastanum, and Vitis vinifera and Ruscus aculeatus phytoessence showed anti-flogistic action; allantoin and Centella asiatica and jaluronic acid aided to sore healing. Idrastin gives an effective support to the treatment of the phlebostatic sores warrants a faster and more effective healing process, than to the wounds treated by only the elastocompressive therapy."
CD012164,0,12822732,0,Surgical treatment of venous ulcers: role of subfascial endoscopic perforator vein ligation.,"Existing data in the literature lack answers to several questions about the optimal treatment of patients with advanced CVI, especially venous ulcers. There is no level I evidence to support the superiority of surgical over medical treatment and the extent of surgical intervention. Specifically, knowledge about the efficacy and applicability of SEPS is incomplete, and prospective, randomized studies are needed. In the light of present-day knowledge, all patients should undergo a trial of medical management before resorting to surgery. Patients who benefit from surgical treatment and the addition of SEPS, if indicated, are patients with ulcers resulting from PVI of the superficial and perforating veins, with or without DVI. Based on available data, these patients can be assured an 80% to 90% chance of long-term freedom from ulcer recurrence. Despite subjective symptomatic and objective clinical score improvement, the role of surgery and SEPS is controversial in patients with PT because only 50% of patients can be predicted to have long-term freedom from ulcer recurrence. Patients with ulcer recurrence after SEPS should undergo duplex scanning to exclude recurrent or persistent perforators. If these are found to be incompetent, repeat SEPS is warranted. If there is no perforator incompetence, patients should be considered for deep venous reconstruction."
CD012164,0,20628101,0,Evidence on efficacy of treatments of venous ulcers and on prevention of ulcer recurrence.,"Venous ulcers affect almost 1 million people in the United States. Delayed healing and frequent recurrence result in pain, disability, decreased quality of life, and loss of working days for the patients. Compression therapy is the most effective treatment of ulcers, but compliance with conservative treatment is important, and recurrence must be prevented by treating the underlying ambulatory venous hypertension. Evidence from prospective randomized trials confirm that ulcer recurrence is decreased with superficial vein surgery. Evidence is also increasing about the superiority of endovenous interventions, such as laser or radiofrequency ablation, over the classic open surgical treatment of high ligation, division, and stripping of the saphenous vein. Well-conducted randomized trials are still needed to provide grade A evidence to justify treatment of incompetent perforating veins. Treatment of proximal venous occlusion is important, and venous stents have been effective and durable. Open surgery is only considered today for iliac or iliocaval venous obstruction if endovascular treatment is not possible or has already failed. Open surgery for deep venous incompetence is recommended in centers of excellence, although evidence to support its effectiveness is of low quality."
CD012164,0,11035968,0,Surgical correction of isolated superficial venous reflux reduces long-term recurrence rate in chronic venous leg ulcers.,surgical correction of isolated superficial venous reflux in ulcerated legs may reduce short term recurrence rates but the longer term benefits are unknown.
CD012164,0,27590190,0,Presentations of major peripheral arterial disease and risk of major outcomes in patients with type 2 diabetes: results from the ADVANCE-ON study.,"Peripheral arterial disease (PAD) is known to be associated with high cardiovascular risk, but the individual impact of PAD presentations on risk of macrovascular and microvascular events has not been reliably compared in patients with type 2 diabetes. We aimed to evaluate the impact of major PAD, and its different presentations, on the 10-year risk of death, major macrovascular events, and major clinical microvascular events in these patients."
CD012164,0,22271740,0,A systematic review of the effectiveness of revascularization of the ulcerated foot in patients with diabetes and peripheral arterial disease.,"In several large recent observational studies, peripheral arterial disease (PAD) was present in up to 50% of the patients with a diabetic foot ulcer and was an independent risk factor for amputation. The International Working Group on the Diabetic Foot therefore established a multidisciplinary working group to evaluate the effectiveness of revascularization of the ulcerated foot in patients with diabetes and PAD. A systematic search was performed for therapies to revascularize the ulcerated foot in patients with diabetes and PAD from 1980-June 2010. Only clinically relevant outcomes were assessed. The research conformed to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines, and the Scottish Intercollegiate Guidelines Network methodological scores were assigned. A total of 49 papers were eligible for full text review. There were no randomized controlled trials, but there were three nonrandomized studies with a control group. The major outcomes following endovascular or open bypass surgery were broadly similar among the studies. Following open surgery, the 1-year limb salvage rates were a median of 85% (interquartile range of 80-90%), and following endovascular revascularization, these rates were 78% (70.5-85.5%). At 1-year follow-up, 60% or more of ulcers had healed following revascularization with either open bypass surgery or endovascular revascularization. Studies appeared to demonstrate improved rates of limb salvage associated with revascularization compared with the results of medically treated patients in the literature. There were insufficient data to recommend one method of revascularization over another. There is a real need for standardized reporting of baseline demographic data, severity of disease and outcome reporting in this group of patients."
CD012164,0,12618690,0,Optimal therapy for advanced chronic venous insufficiency.,"While definitive therapy awaits level I evidence, controversy persists regarding the optimal operation for treatment of advanced chronic venous insufficiency (CVI). We propose a pragmatic approach to the correction or amelioration of venous hypertension resulting from hydrodynamic and hydrostatic venous reflux. We evaluated a strategy of balloon dissection, subfascial endoscopic perforating vein surgery (SEPS) with routine posterior deep compartment fasciotomy, including ligation and stripping of the superficial system, for use when reflux is documented at duplex ultrasound (US) scanning."
CD012164,0,25720937,0,A randomized clinical trial of endovenous laser ablation versus conventional surgery for small saphenous varicose veins.,Abstract not available
CD012164,0,18663117,0,"The use of therapeutic ultrasound in venous leg ulcers: a randomized, controlled clinical trial.",To estimate the usefulness of therapeutic ultrasound for healing of venous leg ulcers.
CD012164,0,24357450,0,Influence of perforating vein surgery in patients with venous ulceration.,The exact role of perforating vein surgery is still unclear. The aim of this study is to analyze the influence of perforating vein surgery in patients with venous ulceration.
CD012164,0,21478141,1,Early and long-term results of physical methods in the treatment of venous leg ulcers: randomized controlled trial.,To estimate early and long-term results of physical methods in the treatment of venous leg ulcers.
CD012164,0,21656715,1,Early results from a randomized trial of saphenous surgery with or without subfascial endoscopic perforator surgery in patients with a venous ulcer.,"The aim was to clarify the role of incompetent perforators (IPs) in venous leg ulcers. This short-term report focused on safety, patient satisfaction and the fate of IPs after subfascial endoscopic perforator surgery (SEPS), or saphenous surgery alone."
CD012164,0,14718823,0,Prospective randomized controlled trial: conventional versus powered phlebectomy.,"Transilluminated powered phlebectomy (TriVex) is a new surgical technique that uses tumescent dissection, transillumination, and powered phlebectomy. The purpose of this study was to compare TriVex with conventional varicose vein surgery in terms of pain, cosmesis, recurrence, complications, and operating time."
CD012164,0,24835693,0,Systematic review and meta-analysis of surgical interventions versus conservative therapy for venous ulcers.,"This goal of this study was to systematically review the literature to determine if surgical intervention (open or endovascular) is superior to compression alone with respect to ulcer healing, ulcer recurrence, and time to ulcer healing in patients with lower extremity venous ulcer disease."
CD012164,0,26342204,0,Effectiveness of revascularization of the ulcerated foot in patients with diabetes and peripheral artery disease: a systematic review.,"Symptoms or signs of peripheral artery disease (PAD) can be observed in up to 50% of the patients with a diabetic foot ulcer and is a risk factor for poor healing and amputation. In 2012, a multidisciplinary working group of the International Working Group on the Diabetic Foot published a systematic review on the effectiveness of revascularization of the ulcerated foot in patients with diabetes and PAD. This publication is an update of this review and now includes the results of a systematic search for therapies to revascularize the ulcerated foot in patients with diabetes and PAD from 1980 to June 2014. Only clinically relevant outcomes were assessed. The research conformed to the Preferred Reporting Items for Systematic Reviews and Meta-analyses guidelines, and Scottish Intercollegiate Guidelines Network methodological scores were assigned. A total of 56 articles were eligible for full-text review. There were no randomized controlled trials, but there were four nonrandomized studies with a control group. The major outcomes following endovascular or open bypass surgery were broadly similar among the studies. Following open surgery, the 1-year limb salvage rates were a median of 85% (interquartile range of 80-90%), and following endovascular revascularization, these rates were 78% (70-89%). At 1-year follow-up, 60% or more of ulcers had healed following revascularization with either open bypass surgery or endovascular techniques. Studies appeared to demonstrate improved rates of limb salvage associated with revascularization compared with the results of conservatively treated patients in the literature. There were insufficient data to recommend one method of revascularization over another. There is a real need for standardized reporting of baseline demographic data, severity of disease and outcome reporting in this group of patients."
CD012164,0,22817861,0,Diabetic revascularization: endovascular versus open bypass--do we have the answer?,"Diabetes is an independent risk factor for peripheral arterial disease and, when advanced peripheral arterial disease develops in the setting of diabetes, it portends a greatly increased threat to both life and limb. The management of severe limb ischemia in diabetic patients, particularly those with tissue loss and infection, remains a major surgical challenge in the new millennium. However, advances in multidisciplinary care, including an aggressive revascularization approach, can avoid major amputation in a large percentage of patients. The unique pattern of lower extremity atherosclerosis in diabetes is a critical determinant of the revascularization strategy. Most diabetics with critical ischemia have popliteal/tibial occlusions requiring below-the-knee intervention or bypass grafting. Bypass surgery with vein to crural or pedal arteries remains the gold standard of revascularization, but may be limited by patient risk, conduit availability, and a suitable target. Infrapopliteal angioplasty can have acceptable results for suitable lesions, particularly when there is not extensive tissue loss in the foot. However, restenosis rates after endovascular intervention in these vessels are high, and recent advances in drug-eluting balloons and stents have promise but remain largely unproven. There is limited high-quality evidence to support treatment choices in this arena, with only one randomized clinical trial to date. The available data suggest that patients with life expectancy of at least 2 years and more extensive disease have superior outcomes with open reconstruction. A selective revascularization strategy is advocated, using autogenous vein bypass as the initial approach in a significant percentage of patients, based on its greater overall efficacy and proven durability. However, endovascular therapies have an important role in current practice, which will increase further if restenosis can be overcome. Vascular specialists should understand and be able to apply both types of interventions to optimize patient outcomes."
